age,job,marital,education,default,balance,housing,loan
0.038961038961039085,-0.8181818181818181,-1.0,-1.0,-1.0,-0.8154812703139469,1.0,-1.0
-0.3246753246753246,-1.0,0.0,-0.3333333333333333,-1.0,-0.8538666860348991,1.0,-1.0
-0.6103896103896103,1.0,-1.0,-0.3333333333333333,-1.0,-0.8543569444192254,1.0,1.0
-0.2467532467532467,0.8181818181818183,-1.0,1.0,-1.0,-0.827047736640459,1.0,-1.0
-0.6103896103896103,0.6363636363636365,0.0,1.0,-1.0,-0.8543751021371634,-1.0,-1.0
-0.5584415584415584,-0.8181818181818181,-1.0,-1.0,-1.0,-0.8501988270114212,1.0,-1.0
-0.7402597402597402,-0.8181818181818181,0.0,-1.0,-1.0,-0.8462767599368112,1.0,1.0
-0.3766233766233765,1.0,1.0,-1.0,1.0,-0.8543569444192254,1.0,-1.0
0.038961038961039085,0.4545454545454546,-1.0,0.3333333333333333,-1.0,-0.8521961759846023,1.0,-1.0
-0.3506493506493506,-1.0,0.0,-0.3333333333333333,-1.0,-0.8436257331178617,1.0,-1.0
-0.4025974025974025,0.2727272727272728,1.0,-0.3333333333333333,-1.0,-0.8494906760118388,1.0,-1.0
-0.7142857142857142,0.2727272727272728,0.0,-0.3333333333333333,-1.0,-0.8473117498592777,1.0,-1.0
-0.09090909090909083,-1.0,-1.0,-0.3333333333333333,-1.0,-0.8542843135474734,1.0,-1.0
0.038961038961039085,-1.0,-1.0,1.0,-1.0,-0.8531040618815028,1.0,-1.0
0.012987012987013102,0.090909090909091,-1.0,-0.3333333333333333,-1.0,-0.8514517095491438,1.0,-1.0
-0.1428571428571428,0.4545454545454546,-1.0,0.3333333333333333,-1.0,-0.8502351424472973,1.0,-1.0
-0.29870129870129863,0.2727272727272728,0.0,1.0,-1.0,-0.8541572095219073,1.0,-1.0
0.012987012987013102,0.8181818181818183,-1.0,0.3333333333333333,-1.0,-0.8534490585223249,1.0,-1.0
0.090909090909091,0.4545454545454546,-1.0,0.3333333333333333,-1.0,-0.8533037967788208,1.0,-1.0
-0.6103896103896103,0.090909090909091,-1.0,-0.3333333333333333,-1.0,-0.8543932598551014,1.0,-1.0
-0.7402597402597402,0.8181818181818183,-1.0,-0.3333333333333333,-1.0,-0.8412652297859206,1.0,1.0
-0.01298701298701288,-0.8181818181818181,-1.0,-1.0,-1.0,-0.840248397581392,1.0,-1.0
